pet_type,symptoms,condition,advice,urgency,home_care
Cat,"vomiting lethargy loss_of_appetite yellow_eyes","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"yellow_eyes dark_urine lethargy weakness","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"vomiting yellow_skin loss_of_appetite fatigue","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"jaundice lethargy vomiting abdominal_pain","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"yellow_eyes vomiting not_eating weakness","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"loss_of_appetite yellow_skin dark_urine fatigue","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"lethargy jaundice weight_loss vomiting","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"abdominal_pain yellow_eyes not_drinking lethargy","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"vomiting weight_loss yellow_eyes pale_gums","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"dark_urine lethargy loss_of_appetite jaundice","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"yellow_skin weakness vomiting not_eating","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"fatigue jaundice abdominal_pain vomiting","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"lethargy yellow_eyes dark_urine weight_loss","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"vomiting loss_of_appetite fatigue jaundice","Liver Disease","Possible liver disease. Avoid fatty foods. Blood tests needed.","urgent","Keep pet calm and hydrated. No fatty food. Vet visit required."
Cat,"sneezing eye_discharge runny_nose lethargy","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"nasal_discharge sneezing eye_discharge fever","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"runny_nose lethargy eye_discharge sneezing","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"sneezing fever nasal_discharge loss_of_appetite","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
